16.08		31.4716
16.06		29.7106
16.04		26.5805
16.02		27.4531
16		30.5829
15.98		26.1109
15.96		29.6307
15.94		29.9628
15.92		28.2257
15.9		26.8851
15.88		27.8714
15.86		27.4066
15.84		26.1484
15.82		27.4876
15.8		26.7841
15.78		29.5029
15.76		29.3791
15.74		30.1526
15.72		33.2882
15.7		29.3083
15.68		26.2238
15.66		28.1028
15.64		29.1495
15.62		25.9658
15.6		32.1291
15.58		28.0875
15.56		27.981
15.54		29.0836
15.52		27.5163
15.5		30.9293
15.48		31.0477
15.46		29.2394
15.44		29.1877
15.42		29.3749
15.4		27.7808
15.38		30.5042
15.36		31.1363
15.34		28.2467
15.32		29.5061
15.3		30.62
15.28		29.0697
15.26		29.6523
15.24		27.5405
15.22		26.3209
15.2		27.9029
15.18		29.7909
15.16		27.9147
15.14		26.6414
15.12		31.0259
15.1		28.6449
15.08		29.8598
15.06		30.1584
15.04		28.6852
15.02		31.4981
15		28.791
14.98		29.0665
14.96		32.9862
14.94		31.4355
14.92		26.8342
14.9		29.9599
14.88		30.0791
14.86		28.8579
14.84		27.9926
14.82		28.0478
14.8		32.5088
14.78		30.0715
14.76		30.3282
14.74		30.2448
14.72		29.3483
14.7		30.899
14.68		26.2832
14.66		30.932
14.64		29.0799
14.62		30.6485
14.6		30.5865
14.58		29.7073
14.56		29.109
14.54		32.8986
14.52		30.2031
14.5		31.4891
14.48		29.6105
14.46		28.7519
14.44		30.1734
14.42		33.9013
14.4		29.1032
14.38		28.1492
14.36		33.2501
14.34		34.1195
14.32		33.9802
14.3		33.0019
14.28		32.829
14.26		29.0178
14.24		32.3703
14.22		35.3423
14.2		31.3866
14.18		30.2451
14.16		31.9273
14.14		32.2368
14.12		33.3936
14.1		32.9705
14.08		34.4864
14.06		32.0298
14.04		31.8796
14.02		31.9089
14		32.5361
13.98		29.5052
13.96		31.3413
13.94		33.3873
13.92		32.1047
13.9		27.7984
13.88		28.6919
13.86		34.0878
13.84		34.207
13.82		33.1481
13.8		35.1476
13.78		35.6807
13.76		34.653
13.74		36.1562
13.72		32.6069
13.7		34.5456
13.68		35.5232
13.66		35.1592
13.64		32.7723
13.62		31.2092
13.6		31.4809
13.58		32.7955
13.56		31.464
13.54		34.1839
13.52		34.623
13.5		33.916
13.48		32.8915
13.46		34.0716
13.44		31.8623
13.42		35.648
13.4		37.9364
13.38		38.3267
13.36		33.4846
13.34		36.2174
13.32		37.3452
13.3		36.7613
13.28		37.6983
13.26		33.2901
13.24		33.5864
13.22		32.6734
13.2		33.9871
13.18		35.2682
13.16		34.7701
13.14		39.2717
13.12		35.7178
13.1		38.383
13.08		34.784
13.06		41.5478
13.04		35.611
13.02		38.3658
13		38.6148
12.98		37.6825
12.96		34.6513
12.94		34.9871
12.92		38.5557
12.9		38.8805
12.88		37.449
12.86		38.3612
12.84		33.0798
12.82		36.3384
12.8		40.2037
12.78		43.758
12.76		39.6078
12.74		39.3021
12.72		38.1069
12.7		40.3235
12.68		38.1123
12.66		37.7649
12.64		38.8751
12.62		42.3336
12.6		35.7096
12.58		38.1491
12.56		38.9816
12.54		40.7485
12.52		36.3762
12.5		44.91
12.48		40.4943
12.46		40.4131
12.44		39.9575
12.42		41.2391
12.4		43.8665
12.38		42.9312
12.36		43.2267
12.34		38.5545
12.32		39.2836
12.3		41.0065
12.28		43.1616
12.26		44.0845
12.24		49.1087
12.22		41.2015
12.2		41.9483
12.18		43.5732
12.16		44.1459
12.14		44.2076
12.12		45.0857
12.1		46.3863
12.08		41.5464
12.06		44.2563
12.04		45.7223
12.02		44.8432
12		42.1596
11.98		46.5979
11.96		45.1187
11.94		44.7927
11.92		45.8575
11.9		45.4171
11.88		44.4781
11.86		41.4453
11.84		45.7682
11.82		40.2419
11.8		44.8975
11.78		44.4171
11.76		45.432
11.74		46.6717
11.72		45.0321
11.7		48.9573
11.68		48.0535
11.66		47.0081
11.64		46.2673
11.62		47.1387
11.6		42.6064
11.58		44.9969
11.56		45.5436
11.54		47.2087
11.52		48.2279
11.5		48.0009
11.48		45.4118
11.46		48.209
11.44		41.542
11.42		49.1314
11.4		48.1079
11.38		46.3806
11.36		50.9551
11.34		42.9901
11.32		45.3596
11.3		46.6548
11.28		46.3987
11.26		50.1557
11.24		50.2151
11.22		50.1252
11.2		49.7709
11.18		51.0843
11.16		53.2704
11.14		49.6946
11.12		46.7656
11.1		50.0008
11.08		49.9247
11.06		53.5299
11.04		54.4137
11.02		49.6546
11		53.5261
10.98		51.8239
10.96		57.888
10.94		52.0392
10.92		51.1522
10.9		53.4261
10.88		51.596
10.86		51.3509
10.84		52.5391
10.82		55.1047
10.8		52.7149
10.78		47.194
10.76		52.6488
10.74		52.6903
10.72		53.2876
10.7		52.7459
10.68		53.5232
10.66		50.1016
10.64		48.7279
10.62		50.8956
10.6		54.5845
10.58		51.3121
10.56		51.0366
10.54		54.5434
10.52		51.7342
10.5		54.1506
10.48		55.8981
10.46		55.2789
10.44		56.3929
10.42		57.0857
10.4		56.2668
10.38		59.7737
10.36		53.798
10.34		57.087
10.32		61.5086
10.3		56.5576
10.28		56.9665
10.26		56.4716
10.24		55.1938
10.22		55.7661
10.2		55.6629
10.18		55.6257
10.16		54.2111
10.14		54.6429
10.12		54.2005
10.1		54.1748
10.08		60.1551
10.06		57.0681
10.04		56.2598
10.02		59.9705
10		58.9319
9.98		58.6303
9.96		61.589
9.94		63.1039
9.92		59.9171
9.9		61.1285
9.88		61.8365
9.86		58.265
9.84		61.3029
9.82		58.7531
9.8		62.1029
